,Country,ISO 3166-1 alpha-3,Year,Total,Coal,Oil,Gas,Cement,Flaring,Other,Per Capita
36986,Montenegro,MNE,2016,2.0152,1.183472,0.831728,0.0,0.0,0.0,,3.182243
36987,Montenegro,MNE,2017,2.103136,1.201792,0.901344,0.0,0.0,0.0,,3.325442
36988,Montenegro,MNE,2018,2.39992,1.421632,0.978288,0.0,0.0,0.0,,3.800619
36989,Montenegro,MNE,2019,2.476864,1.454608,1.022256,0.0,0.0,0.0,,3.92906
36990,Montenegro,MNE,2020,2.451262,1.495241,0.956021,0.0,0.0,0.0,,3.89678
36991,Montenegro,MNE,2021,1.751386,0.786839,0.964547,0.0,0.0,0.0,,2.789458
37258,Montserrat,MSR,2016,0.029312,0.0,0.029312,0.0,0.0,0.0,,5.764405
37259,Montserrat,MSR,2017,0.029312,0.0,0.029312,0.0,0.0,0.0,,6.237923
37260,Montserrat,MSR,2018,0.029312,0.0,0.029312,0.0,0.0,0.0,,6.724478
37261,Montserrat,MSR,2019,0.021984,0.0,0.021984,0.0,0.0,0.0,,4.879911
37262,Montserrat,MSR,2020,0.01877,0.0,0.01877,0.0,0.0,0.0,,4.171108
37263,Montserrat,MSR,2021,0.020678,0.0,0.020678,0.0,0.0,0.0,,4.681398
37530,Morocco,MAR,2016,58.457476,16.235184,34.654112,2.36328,5.2049,0.0,,1.665111
37531,Morocco,MAR,2017,61.472122,16.876384,36.830528,2.34496,5.42025,0.0,,1.730239
37532,Morocco,MAR,2018,63.010039,19.51926,35.792028,2.114251,5.5845,0.0,,1.75381
37533,Morocco,MAR,2019,68.60754,25.259616,36.343216,2.004208,5.0005,0.0,,1.889785
37534,Morocco,MAR,2020,64.720322,25.36126,32.794844,1.563719,5.0005,0.0,,1.764036
37535,Morocco,MAR,2021,70.577665,27.844789,36.158632,1.573744,5.0005,0.0,,1.903564
37802,Mozambique,MOZ,2016,8.15937,0.051296,5.620576,1.535216,0.947808,0.004474,,0.294599
37803,Mozambique,MOZ,2017,6.949325,0.025648,4.37848,1.61216,0.910609,0.022428,,0.243243
37804,Mozambique,MOZ,2018,7.079789,0.06232,4.457737,1.616663,0.929983,0.013085,,0.240614
37805,Mozambique,MOZ,2019,7.146829,0.047632,4.356496,1.729408,1.011357,0.001936,,0.235981
37806,Mozambique,MOZ,2020,6.669406,0.046479,3.951473,1.659778,1.011357,0.00032,,0.213912
37807,Mozambique,MOZ,2021,7.156209,0.049964,4.170887,1.924001,1.011357,0.0,,0.223094
38074,Myanmar,MMR,2016,21.140408,1.124848,10.893072,8.07912,0.961663,0.081705,,0.40739
38075,Myanmar,MMR,2017,23.630087,1.553536,11.453664,8.46384,2.091236,0.067812,,0.451919
38076,Myanmar,MMR,2018,34.783468,3.25031,20.890662,8.116614,2.48048,0.045402,,0.660454
38077,Myanmar,MMR,2019,34.609115,3.931472,19.715984,7.980192,2.938415,0.043052,,0.652507
38078,Myanmar,MMR,2020,36.088895,4.126994,20.808577,8.167307,2.938415,0.047602,,0.675529
38079,Myanmar,MMR,2021,36.306759,4.180161,21.384417,7.764305,2.938415,0.039461,,0.674871
38346,Namibia,NAM,2016,4.051196,0.069616,3.71896,0.0,0.26262,0.0,,1.743686
38347,Namibia,NAM,2017,4.216153,0.087936,3.722624,0.0,0.405593,0.0,,1.78308
38348,Namibia,NAM,2018,4.15492,0.025648,3.64568,0.0,0.483592,0.0,,1.727129
38349,Namibia,NAM,2019,4.107047,0.051296,3.53576,0.0,0.519991,0.0,,1.678645
38350,Namibia,NAM,2020,3.945144,0.046106,3.379047,0.0,0.519991,0.0,,1.584969
